source,disease,symptom_tags,symptom_text,num_symptoms
shanover_disease_symptoms_prec_full,(vertigo) Paroymsal Positional Vertigo,headache|nausea|spinning_movements|loss_of_balance|unsteadiness,"headache, nausea, spinning movements, loss of balance, unsteadiness",5
shanover_disease_symptoms_prec_full,(vertigo) Paroymsal Positional Vertigo,vomiting|headache|nausea|loss_of_balance|unsteadiness,"vomiting, headache, nausea, loss of balance, unsteadiness",5
shanover_disease_symptoms_prec_full,(vertigo) Paroymsal Positional Vertigo,vomiting|headache|nausea|spinning_movements|loss_of_balance,"vomiting, headache, nausea, spinning movements, loss of balance",5
shanover_disease_symptoms_prec_full,(vertigo) Paroymsal Positional Vertigo,vomiting|headache|nausea|spinning_movements|loss_of_balance|unsteadiness,"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness",6
shanover_disease_symptoms_prec_full,(vertigo) Paroymsal Positional Vertigo,vomiting|headache|nausea|spinning_movements|unsteadiness,"vomiting, headache, nausea, spinning movements, unsteadiness",5
shanover_disease_symptoms_prec_full,(vertigo) Paroymsal Positional Vertigo,vomiting|headache|spinning_movements|loss_of_balance|unsteadiness,"vomiting, headache, spinning movements, loss of balance, unsteadiness",5
shanover_disease_symptoms_prec_full,(vertigo) Paroymsal Positional Vertigo,vomiting|nausea|spinning_movements|loss_of_balance|unsteadiness,"vomiting, nausea, spinning movements, loss of balance, unsteadiness",5
shanover_disease_symptoms_prec_full,AIDS,muscle_wasting|high_fever|extra_marital_contacts,"muscle wasting, high fever, extra marital contacts",3
shanover_disease_symptoms_prec_full,AIDS,muscle_wasting|patches_in_throat|extra_marital_contacts,"muscle wasting, patches in throat, extra marital contacts",3
shanover_disease_symptoms_prec_full,AIDS,muscle_wasting|patches_in_throat|high_fever,"muscle wasting, patches in throat, high fever",3
shanover_disease_symptoms_prec_full,AIDS,muscle_wasting|patches_in_throat|high_fever|extra_marital_contacts,"muscle wasting, patches in throat, high fever, extra marital contacts",4
shanover_disease_symptoms_prec_full,AIDS,patches_in_throat|high_fever|extra_marital_contacts,"patches in throat, high fever, extra marital contacts",3
shanover_disease_symptoms_prec_full,Acne,pus_filled_pimples|blackheads|scurring,"pus filled pimples, blackheads, scurring",3
shanover_disease_symptoms_prec_full,Acne,skin_rash|blackheads|scurring,"skin rash, blackheads, scurring",3
shanover_disease_symptoms_prec_full,Acne,skin_rash|pus_filled_pimples|blackheads,"skin rash, pus filled pimples, blackheads",3
shanover_disease_symptoms_prec_full,Acne,skin_rash|pus_filled_pimples|blackheads|scurring,"skin rash, pus filled pimples, blackheads, scurring",4
shanover_disease_symptoms_prec_full,Acne,skin_rash|pus_filled_pimples|scurring,"skin rash, pus filled pimples, scurring",3
